dataset,#TrainingRelease,%Training,%Defective in Training,%Defective in Testing,Classifier,FeatureSelection,Balancing,TP,FP,TN,FN,Precision,Recall,AUC,Kappa
BOOKKEEPER,4,76,48,43,IBK,BF,No Sampling,291.0,81.0,427.0,93.0,0.9041174540682415,0.6006545634185501,0.782258064516129,0.7578125
BOOKKEEPER,4,76,48,43,NaiveBayes,BF,UnderSampling,104.0,17.0,237.0,88.0,0.8863599081364829,0.49717611183885585,0.859504132231405,0.5416666666666666
BOOKKEEPER,4,76,48,43,RandomForest,BF,UnderSampling,182.0,42.0,212.0,10.0,0.9676837270341208,0.7669614147909968,0.8125,0.9479166666666666
BOOKKEEPER,4,76,48,43,IBK,BF,UnderSampling,188.0,66.0,188.0,4.0,0.9465530675853019,0.6920497139475241,0.7401574803149606,0.9791666666666666
BOOKKEEPER,4,76,48,43,NaiveBayes,BF,OverSampling,103.0,18.0,236.0,89.0,0.872190780839895,0.48759851396911974,0.8512396694214877,0.5364583333333334
BOOKKEEPER,4,76,48,43,RandomForest,BF,OverSampling,170.0,39.0,215.0,22.0,0.9517306430446194,0.7240490922000203,0.8133971291866029,0.8854166666666666
BOOKKEEPER,4,76,48,43,IBK,BF,OverSampling,167.0,51.0,203.0,25.0,0.9005905511811023,0.6581272441199014,0.7660550458715596,0.8697916666666666
BOOKKEEPER,4,76,48,43,NaiveBayes,BF,Smote,110.0,18.0,236.0,82.0,0.8802083333333334,0.5233413132694938,0.859375,0.5729166666666666
BOOKKEEPER,4,76,48,43,RandomForest,BF,Smote,187.0,52.0,202.0,5.0,0.9633571194225722,0.7469188651070183,0.7824267782426778,0.9739583333333334
BOOKKEEPER,4,76,48,43,IBK,BF,Smote,188.0,65.0,189.0,4.0,0.9453227526246719,0.6962632503602518,0.7430830039525692,0.9791666666666666
BOOKKEEPER,5,73,46,72,NaiveBayes,No FS,No Sampling,152.0,11.0,178.0,348.0,0.834962962962963,0.1581174036016841,0.9325153374233128,0.304
BOOKKEEPER,5,73,46,72,RandomForest,No FS,No Sampling,249.0,10.0,179.0,251.0,0.8786137566137566,0.3187030926194635,0.9613899613899614,0.498
BOOKKEEPER,5,73,46,72,IBK,No FS,No Sampling,263.0,10.0,179.0,237.0,0.7288042328042328,0.34443387250237867,0.9633699633699634,0.526
