dataset,#TrainingRelease,%Training,%Defective in Training,%Defective in Testing,Classifier,FeatureSelection,Balancing,TP,FP,TN,FN,Precision,Recall,AUC,Kappa
SYNCOPE,4,79,26,52,IBK,No FS,Smote,150.0,15.0,249.0,136.0,0.8449287454969273,0.45955619183965646,0.9090909090909091,0.5244755244755245
SYNCOPE,4,79,26,52,NaiveBayes,BF,No Sampling,193.0,10.0,518.0,379.0,0.855166613689341,0.31013690856210535,0.9507389162561576,0.3374125874125874
SYNCOPE,4,79,26,52,RandomForest,BF,No Sampling,189.0,13.0,515.0,383.0,0.8499185473617292,0.29777273372109525,0.9356435643564357,0.3304195804195804
SYNCOPE,4,79,26,52,IBK,BF,No Sampling,237.0,19.0,509.0,335.0,0.8535441830896376,0.3698376530902877,0.92578125,0.4143356643356643
SYNCOPE,4,79,26,52,NaiveBayes,BF,UnderSampling,98.0,5.0,259.0,188.0,0.8428361411315957,0.31531148006243787,0.9514563106796117,0.34265734265734266
SYNCOPE,4,79,26,52,RandomForest,BF,UnderSampling,189.0,32.0,232.0,97.0,0.8747616020343293,0.5345648722759417,0.8552036199095022,0.6608391608391608
SYNCOPE,4,79,26,52,IBK,BF,UnderSampling,210.0,42.0,222.0,76.0,0.8454121635939817,0.5723398086401854,0.8333333333333334,0.7342657342657343
SYNCOPE,4,79,26,52,NaiveBayes,BF,OverSampling,92.0,5.0,259.0,194.0,0.8466438864166137,0.2946264001134269,0.9484536082474226,0.32167832167832167
SYNCOPE,4,79,26,52,RandomForest,BF,OverSampling,121.0,12.0,252.0,165.0,0.8327638270820089,0.36938862761864055,0.9097744360902256,0.4230769230769231
SYNCOPE,4,79,26,52,IBK,BF,OverSampling,135.0,16.0,248.0,151.0,0.8152879317652045,0.40348621231604526,0.8940397350993378,0.47202797202797203
SYNCOPE,4,79,26,52,NaiveBayes,BF,Smote,98.0,5.0,259.0,188.0,0.8446704810341173,0.31531148006243787,0.9514563106796117,0.34265734265734266
SYNCOPE,4,79,26,52,RandomForest,BF,Smote,130.0,13.0,251.0,156.0,0.8731060606060606,0.3970315398886827,0.9090909090909091,0.45454545454545453
SYNCOPE,4,79,26,52,IBK,BF,Smote,150.0,15.0,249.0,136.0,0.8634112100021191,0.45955619183965646,0.9090909090909091,0.5244755244755245
SYNCOPE,5,83,31,94,NaiveBayes,No FS,No Sampling,128.0,0.0,33.0,390.0,0.9048789048789049,0.037826075276039046,1.0,0.2471042471042471
SYNCOPE,5,83,31,94,RandomForest,No FS,No Sampling,154.0,0.0,33.0,364.0,0.8559143559143559,0.048232792984321045,1.0,0.2972972972972973
SYNCOPE,5,83,31,94,IBK,No FS,No Sampling,154.0,0.0,33.0,364.0,0.8137065637065637,0.048232792984321045,1.0,0.2972972972972973
SYNCOPE,5,83,31,94,NaiveBayes,No FS,UnderSampling,135.0,0.0,33.0,383.0,0.8986778986778987,0.04051049590121075,1.0,0.2606177606177606
SYNCOPE,5,83,31,94,RandomForest,No FS,UnderSampling,238.0,0.0,33.0,280.0,0.7814437814437815,0.09240652281337504,1.0,0.4594594594594595
SYNCOPE,5,83,31,94,IBK,No FS,UnderSampling,262.0,0.0,33.0,256.0,0.7857727857727858,0.10920251597746737,1.0,0.5057915057915058
SYNCOPE,5,83,31,94,NaiveBayes,No FS,OverSampling,131.0,0.0,33.0,387.0,0.9033579033579033,0.03896648233528482,1.0,0.2528957528957529
SYNCOPE,5,83,31,94,RandomForest,No FS,OverSampling,228.0,0.0,33.0,290.0,0.8318708318708319,0.08606824603347098,1.0,0.44015444015444016
SYNCOPE,5,83,31,94,IBK,No FS,OverSampling,237.0,0.0,33.0,281.0,0.8012460512460512,0.09175646583329918,1.0,0.4575289575289575
SYNCOPE,5,83,31,94,NaiveBayes,No FS,Smote,138.0,0.0,33.0,380.0,0.9054639054639054,0.0416864999450771,1.0,0.26640926640926643
SYNCOPE,5,83,31,94,RandomForest,No FS,Smote,173.0,0.0,33.0,345.0,0.8627003627003627,0.056661356835539134,1.0,0.333976833976834
SYNCOPE,5,83,31,94,IBK,No FS,Smote,162.0,0.0,33.0,356.0,0.8137065637065637,0.05169012995049504,1.0,0.3127413127413127
SYNCOPE,5,83,31,94,NaiveBayes,BF,No Sampling,228.0,0.0,66.0,808.0,0.8844185094185094,0.03269484808454425,1.0,0.22007722007722008
SYNCOPE,5,83,31,94,RandomForest,BF,No Sampling,254.0,0.0,66.0,782.0,0.831987831987832,0.03744923443971355,1.0,0.24517374517374518
SYNCOPE,5,83,31,94,IBK,BF,No Sampling,254.0,0.0,66.0,782.0,0.8563457938457939,0.03744923443971355,1.0,0.24517374517374518
SYNCOPE,5,83,31,94,NaiveBayes,BF,UnderSampling,109.0,0.0,33.0,409.0,0.8824733824733825,0.03093488366092891,1.0,0.21042471042471042
SYNCOPE,5,83,31,94,RandomForest,BF,UnderSampling,227.0,0.0,33.0,291.0,0.8422253422253422,0.08545370544651879,1.0,0.43822393822393824
SYNCOPE,5,83,31,94,IBK,BF,UnderSampling,263.0,0.0,33.0,255.0,0.7976190476190477,0.10995610117633649,1.0,0.5077220077220077
SYNCOPE,5,83,31,94,NaiveBayes,BF,OverSampling,99.0,0.0,33.0,419.0,0.8826488826488826,0.0275228198464215,1.0,0.19111969111969113
SYNCOPE,5,83,31,94,RandomForest,BF,OverSampling,156.0,0.0,33.0,362.0,0.7963905463905464,0.04908513620457866,1.0,0.30115830115830117
SYNCOPE,5,83,31,94,IBK,BF,OverSampling,176.0,0.0,33.0,342.0,0.8092020592020592,0.05806316168311185,1.0,0.33976833976833976
SYNCOPE,5,83,31,94,NaiveBayes,BF,Smote,110.0,0.0,33.0,408.0,0.8825026325026325,0.031283934019339175,1.0,0.21235521235521235
SYNCOPE,5,83,31,94,RandomForest,BF,Smote,178.0,0.0,33.0,340.0,0.8261963261963262,0.05900908141123522,1.0,0.3436293436293436
SYNCOPE,5,83,31,94,IBK,BF,Smote,189.0,0.0,33.0,329.0,0.8265473265473265,0.0643809386177246,1.0,0.36486486486486486
SYNCOPE,6,85,42,67,NaiveBayes,No FS,No Sampling,122.0,12.0,169.0,255.0,0.6471562348872313,0.19074208862478406,0.9104477611940298,0.32360742705570295
SYNCOPE,6,85,42,67,RandomForest,No FS,No Sampling,155.0,33.0,148.0,222.0,0.6562129050222021,0.17996980140388885,0.824468085106383,0.41114058355437666
