% 1. Title: Bookkeeper
% 
% 2. Sources:
%      (a) Domenico Verde
% 
@RELATION bookkeeper

@ATTRIBUTE version  string
@ATTRIBUTE filename string
@ATTRIBUTE loc numeric
@ATTRIBUTE age numeric
@ATTRIBUTE num-revisions numeric
@ATTRIBUTE changeset numeric
@ATTRIBUTE avg-changeset numeric
@ATTRIBUTE max-changeset numeric
@ATTRIBUTE num-authors numeric
@ATTRIBUTE loc-added numeric
@ATTRIBUTE avg-loc-added numeric
@ATTRIBUTE buggyness {yes, no}


@DATA
2,hedwig-server/src/test/java/org/apache/hedwig/server/TestPubSubServerStartup.java,134,236.14285714285714,10,2908,290.8,591,4,155,15.5,no
2,hedwig-server/src/test/java/org/apache/hedwig/server/delivery/StubDeliveryManager.java,71,258.85714285714283,10,2582,258.2,639,4,113,11.3,yes
2,hedwig-server/src/test/java/org/apache/hedwig/server/handlers/TestBaseHandler.java,122,258.85714285714283,4,2230,557.5,680,3,122,30.5,no
2,hedwig-server/src/test/java/org/apache/hedwig/server/handlers/TestSubUnsubHandler.java,172,258.85714285714283,10,2893,289.3,680,4,209,20.9,yes
2,hedwig-server/src/test/java/org/apache/hedwig/server/integration/TestHedwigHub.java,698,258.85714285714283,13,3199,246.07692307692307,680,5,920,70.76923076923077,yes
2,hedwig-server/src/test/java/org/apache/hedwig/server/integration/TestHedwigRegion.java,99,258.85714285714283,12,3016,251.33333333333334,680,5,341,28.416666666666668,yes
2,hedwig-server/src/test/java/org/apache/hedwig/server/netty/TestPubSubServer.java,266,258.85714285714283,10,3063,306.3,680,5,296,29.6,no
2,hedwig-server/src/test/java/org/apache/hedwig/server/netty/WriteRecordingChannel.java,176,258.85714285714283,3,1954,651.3333333333334,908,3,175,58.333333333333336,no
2,hedwig-server/src/test/java/org/apache/hedwig/server/persistence/BookKeeperTestBase.java,132,258.85714285714283,19,3549,186.78947368421052,591,5,322,16.94736842105263,yes
2,hedwig-server/src/test/java/org/apache/hedwig/server/persistence/MessageBoundedPersistenceTest.java,247,208.85714285714286,7,2534,362.0,591,4,300,42.857142857142854,yes
2,hedwig-server/src/test/java/org/apache/hedwig/server/persistence/StubPersistenceManager.java,118,258.85714285714283,7,2326,332.2857142857143,640,5,143,20.428571428571427,yes
2,hedwig-server/src/test/java/org/apache/hedwig/server/persistence/StubScanCallback.java,54,258.85714285714283,3,1276,425.3333333333333,612,3,55,18.333333333333332,no
2,hedwig-server/src/test/java/org/apache/hedwig/server/persistence/TestBookKeeperPersistenceManagerBlackBox.java,82,258.85714285714283,6,2583,430.5,721,5,96,16.0,yes
2,hedwig-server/src/test/java/org/apache/hedwig/server/persistence/TestBookkeeperPersistenceManagerWhiteBox.java,135,258.85714285714283,10,3051,305.1,591,5,381,38.1,yes
2,hedwig-server/src/test/java/org/apache/hedwig/server/persistence/TestDeadlock.java,278,200.85714285714286,10,2660,266.0,591,4,309,30.9,yes
2,hedwig-server/src/test/java/org/apache/hedwig/server/persistence/TestLocalDBPersistenceManagerBlackBox.java,59,258.85714285714283,4,2116,529.0,890,4,63,15.75,no
2,hedwig-server/src/test/java/org/apache/hedwig/server/persistence/TestPersistenceManagerBlackBox.java,311,258.85714285714283,9,2999,333.22222222222223,591,5,324,36.0,yes
2,hedwig-server/src/test/java/org/apache/hedwig/server/persistence/TestReadAheadCacheBlackBox.java,60,258.85714285714283,3,1962,654.0,890,3,64,21.333333333333332,no
2,hedwig-server/src/test/java/org/apache/hedwig/server/persistence/TestReadAheadCacheWhiteBox.java,274,258.85714285714283,9,2962,329.1111111111111,591,5,346,38.44444444444444,yes
2,hedwig-server/src/test/java/org/apache/hedwig/server/subscriptions/StubSubscriptionManager.java,58,258.85714285714283,5,1850,370.0,639,4,59,11.8,yes
2,hedwig-server/src/test/java/org/apache/hedwig/server/subscriptions/TestUpdateSubscriptionState.java,252,220.71428571428572,7,2532,361.7142857142857,591,4,261,37.285714285714285,yes
2,hedwig-server/src/test/java/org/apache/hedwig/server/subscriptions/TestZkSubscriptionManager.java,212,66.85714285714286,4,1152,288.0,431,4,226,56.5,no
2,hedwig-server/src/test/java/org/apache/hedwig/server/topics/StubTopicManager.java,70,258.85714285714283,4,2157,539.25,786,4,67,16.75,yes
2,hedwig-server/src/test/java/org/apache/hedwig/server/topics/TestConcurrentTopicAcquisition.java,212,225.57142857142858,6,2409,401.5,591,4,215,35.833333333333336,yes
2,hedwig-server/src/test/java/org/apache/hedwig/server/topics/TestZkTopicManager.java,317,258.85714285714283,9,2943,327.0,591,5,391,43.44444444444444,yes
2,hedwig-server/src/test/java/org/apache/hedwig/zookeeper/TestZkUtils.java,53,258.85714285714283,3,1653,551.0,637,3,48,16.0,no
2,hedwig-server/src/test/java/org/apache/hedwig/zookeeper/ZooKeeperTestBase.java,98,258.85714285714283,4,1819,454.75,661,4,95,23.75,no
