Version;Filename;LOC;Age;Num. Revisions;ChangeSet;Average ChangeSet;MAX ChangeSet;Number of Authors;LOC Added;Average Loc Added;Buggyness
4.0.0;bookkeeper-server/src/main/java/org/apache/bookkeeper/meta/HierarchicalLedgerManager.java;520;389.14285714285717;29;11308;389.9310344827586;3157;11;716;24.689655172413794;true
4.0.0;bookkeeper-server/src/main/java/org/apache/bookkeeper/meta/LedgerLayout.java;210;400.85714285714283;16;10093;630.8125;3193;10;251;15.6875;true
4.0.0;bookkeeper-server/src/main/java/org/apache/bookkeeper/meta/LedgerManager.java;150;389.14285714285717;16;10585;661.5625;3157;7;190;11.875;true
4.0.0;bookkeeper-server/src/main/java/org/apache/bookkeeper/meta/LedgerManagerFactory.java;104;368.57142857142856;21;11042;525.8095238095239;2976;9;334;15.904761904761905;true
4.0.0;bookkeeper-server/src/main/java/org/apache/bookkeeper/proto/BookieClient.java;184;422.2857142857143;50;13947;278.94;3155;19;1191;23.82;true
4.0.0;bookkeeper-server/src/main/java/org/apache/bookkeeper/proto/BookieProtocol.java;81;363.14285714285717;27;9053;335.2962962962963;2238;9;196;7.2592592592592595;true
4.0.0;bookkeeper-server/src/main/java/org/apache/bookkeeper/proto/BookieServer.java;215;445.14285714285717;73;14537;199.13698630136986;3199;21;817;11.191780821917808;true
4.0.0;bookkeeper-server/src/main/java/org/apache/bookkeeper/proto/BookkeeperInternalCallbacks.java;63;422.2857142857143;19;11031;580.578947368421;3155;12;39;2.0526315789473686;true
4.0.0;bookkeeper-server/src/main/java/org/apache/bookkeeper/proto/NIOServerFactory.java;527;97.71428571428571;15;2495;166.33333333333334;733;4;598;39.86666666666667;true
4.0.0;bookkeeper-server/src/main/java/org/apache/bookkeeper/proto/PerChannelBookieClient.java;579;469.42857142857144;115;16439;142.94782608695652;3197;28;3195;27.782608695652176;true
4.0.0;bookkeeper-server/src/main/java/org/apache/bookkeeper/proto/ServerStats.java;154;362.14285714285717;5;6501;1300.2;2227;5;168;33.6;true
4.0.0;bookkeeper-server/src/main/java/org/apache/bookkeeper/streaming/LedgerInputStream.java;179;343.2857142857143;6;3741;623.5;892;4;21;3.5;true
4.0.0;bookkeeper-server/src/main/java/org/apache/bookkeeper/streaming/LedgerOutputStream.java;154;438.14285714285717;7;9014;1287.7142857142858;3194;5;19;2.7142857142857144;true
4.0.0;bookkeeper-server/src/main/java/org/apache/bookkeeper/tools/BookKeeperTools.java;769;333.7142857142857;11;3777;343.3636363636364;952;5;844;76.72727272727273;true
4.0.0;bookkeeper-server/src/main/java/org/apache/bookkeeper/util/LocalBookKeeper.java;215;435.57142857142856;42;13932;331.7142857142857;3193;20;510;12.142857142857142;true
4.0.0;bookkeeper-server/src/main/java/org/apache/bookkeeper/util/Main.java;60;339.7142857142857;5;2549;509.8;982;5;60;12.0;true
4.0.0;bookkeeper-server/src/main/java/org/apache/bookkeeper/util/MathUtils.java;44;341.14285714285717;10;4247;424.7;869;8;119;11.9;true
4.0.0;bookkeeper-server/src/main/java/org/apache/bookkeeper/util/OrderedSafeExecutor.java;104;365.57142857142856;18;8596;477.55555555555554;2274;10;694;38.55555555555556;true
4.0.0;bookkeeper-server/src/main/java/org/apache/bookkeeper/util/SafeRunnable.java;44;348.7142857142857;6;3397;566.1666666666666;985;5;36;6.0;true
4.0.0;bookkeeper-server/src/main/java/org/apache/bookkeeper/util/StringUtils.java;100;374.14285714285717;11;8357;759.7272727272727;2463;9;77;7.0;true
4.0.0;bookkeeper-server/src/main/java/org/apache/bookkeeper/util/ZkUtils.java;100;389.42857142857144;16;10553;659.5625;3158;9;127;7.9375;true
4.0.0;bookkeeper-server/src/test/java/org/apache/bookkeeper/bookie/BookieLayoutVersionTest.java;252;16.714285714285715;5;704;140.8;358;2;297;59.4;true
4.0.0;bookkeeper-server/src/test/java/org/apache/bookkeeper/bookie/EntryLogTest.java;96;425.0;45;13496;299.9111111111111;3206;11;2161;48.022222222222226;true
4.0.0;bookkeeper-server/src/test/java/org/apache/bookkeeper/client/BookKeeperTestClient.java;67;386.7142857142857;12;9311;775.9166666666666;2977;8;38;3.1666666666666665;true
4.0.0;bookkeeper-server/src/test/java/org/apache/bookkeeper/client/BookieRecoveryTest.java;613;367.7142857142857;46;12634;274.6521739130435;2915;12;520;11.304347826086957;true
4.0.0;bookkeeper-server/src/test/java/org/apache/bookkeeper/client/LedgerCacheTest.java;138;21.857142857142858;7;889;127.0;376;2;148;21.142857142857142;false
4.0.0;bookkeeper-server/src/test/java/org/apache/bookkeeper/client/TestFencing.java;349;402.57142857142856;23;11743;510.5652173913044;3193;7;113;4.913043478260869;true
4.0.0;bookkeeper-server/src/test/java/org/apache/bookkeeper/meta/HierarchicalAsyncLedgerOpsTest.java;53;29.0;2;692;346.0;411;1;47;23.5;true
4.0.0;bookkeeper-server/src/test/java/org/apache/bookkeeper/meta/HierarchicalBookieFailureTest.java;53;29.0;2;692;346.0;411;1;47;23.5;true
4.0.0;bookkeeper-server/src/test/java/org/apache/bookkeeper/meta/HierarchicalBookieReadWriteTest.java;54;29.0;2;692;346.0;411;1;47;23.5;true
4.0.0;bookkeeper-server/src/test/java/org/apache/bookkeeper/meta/HierarchicalBookieRecoveryTest.java;52;29.0;2;692;346.0;411;1;46;23.0;true
4.0.0;bookkeeper-server/src/test/java/org/apache/bookkeeper/meta/HierarchicalLedgerDeleteTest.java;53;29.0;3;787;262.3333333333333;411;1;47;15.666666666666666;true
4.0.0;bookkeeper-server/src/test/java/org/apache/bookkeeper/meta/LedgerLayoutTest.java;142;319.0;11;5324;484.0;1141;6;195;17.727272727272727;true
4.0.0;bookkeeper-server/src/test/java/org/apache/bookkeeper/meta/TestLedgerManager.java;268;353.57142857142856;20;10420;521.0;2593;8;162;8.1;true
4.0.0;bookkeeper-server/src/test/java/org/apache/bookkeeper/proto/TestProtoVersions.java;120;143.0;8;2449;306.125;833;3;146;18.25;false
